ImageName,label
20190815163809_R171,1
20190816114533_R936,0
20190816115715_R936,0
20190816120511_R936,0
20190816144353_R936,0
20190816145757_R116,1
20190816145757_R2362,3
20190816170639_R59,3
20190817084529_R428,0
20190817185257_R428,0
20190817232637_R302,0
20190821053211_R526,0
20190821110438_R2229,0
20190825031743_R624,0
20190825045706_R69,0
20190825130045_R1737,0
20190825134255_R217,0
20190825193252_R805,0
20190825232409_R217,0
20190826012248_R217,0
20190826015051_R217,0
20190826114059_R291,6
20190826120203_R222,0
20190826235113_R2063,0
20190830205243_R217,0
20190901132400_R981,0
20190901141845_R994,0
20190901181155_R994,0
20190902181320_R870,0
20190904063111_R26,0
20190909223423_R723,3
20190914192130_8SSB20N60289H1DG99A058N_R306_1_S,6
20190915184227_8SSB20N60289H1DG99A02DM_R323_1_S,7
20191110044457_8SSB20N60287H1DG9B6032R_R1720_1_view48,0
20191110050743_8SSB20N60287H1DG9B60313_R1950_1_view51,0
20191111013422_8SSB20N60287H1DG9B600EK_R723_1_view46,0
20191111193431_8SSB20N60289H1DG9B9086G_R723_1_view12,1
20191113020902_8SSB20N60289H1DG9B904H6_R723_1_view12,0
20191113232255_8SSB20N60289H1DG9B901XG_R1736_1_view9,0
20191113235753_8SSB20N60289H1DG9B901VA_R723_1_view12,1
20191114131114_8SSB20N60289H1DG9B9007Y_R854_1_view50,0
20191115142401_8SSB20N60289H1DG9BC07AA_R17_1_view9,3
20191115142401_8SSB20N60289H1DG9BC07AA_R8_1_view10,3
20200222004935_R970_1,0
20200222020319_R970_1,0
20200222044818_R970_1,0
20200222050333_R970_1,0
20200222052836_R970_1,0
20200222080534_R970_1,0
20200223011255_R971_1,0
20200223150214_R853_1,0
20200223224030_R970_1,0
20200224000850_R970_1,0
20200224001625_R970_1,0
20200224193213_R1031_1,6
20200224210526_R377_1,6
20200224212137_R365_1,3
20200224221944_R130_1,5
20200225000523_R431_1,0
20200225005945_R546_1,0
20200225015327_R431_1,0
20200225020710_R127_1,0
20200225024705_R431_1,0
20200225025121_R431_1,0
20200225035721_R1013_1,0
20200225043223_R431_1,0
20200225044554_R431_1,0
20200225044813_R431_1,0
20200225045347_R431_1,0
20200225050200_R128_1,0
20200225050544_R129_1,0
20200226191725_PR2543_1,4
20200226200136_PR2543_1,4
20200228092633_OR8081_1,1
20200301142843_SR4338_1,4
20200301142912_SR4338_1,4
20200306083526_AR29_1,5
20200306083638_PR758_1,2
20200306100401_U27R1_1,2
